id	filename	md5	size	state
2e26204f-9cce-4377-8dc1-6c8e95101978	TCGA-BJ-A28W-01A-01-TS1.db4c7e85-bc1d-4a4d-8add-c72ea9a88b4e.svs	c60c39d0419109ecd415d4d72df4a5c6	183872971	validated
40b68215-5675-4dcf-8ae7-05a7f127826b	TCGA-E8-A436-01A-01-TSA.F71EA61C-60B3-4C77-B872-F5A6A2EDB67B.svs	5221d24b4f8ba4f3378bf397bc3e4fb0	143490983	validated
40a953a9-3528-4976-9da9-c62fb9aae8c0	TCGA-FY-A40K-01A-01-TS1.978EE04F-0CF2-4E11-998E-05E1582E1BCE.svs	01dc99fb45da0070c4d023dd03f934b6	87512270	validated
40e975b4-151d-43bd-aeda-bf71ad5dc9bb	TCGA-DE-A4MA-01A-01-TSA.F006C5F1-9982-464E-BE5C-90ED09805AC8.svs	5e244c2509274a0e2f700d69ac39da0c	129924285	validated
bd3875c6-f2e2-4e63-866c-7864611a0cdd	TCGA-ET-A40Q-01A-01-TSA.C7C206EF-CD50-41EF-8C93-C46F4CF1E499.svs	b8a34bdd70ad4f27a8144797b07c9f76	192867381	validated
4111cd02-e112-44db-8439-b72208b84803	TCGA-EM-A1CS-01A-01-TS1.aeab72c9-2e5d-43b2-8f6e-186a5e4b03f9.svs	96175bc6946c254dbecb6c7a67dbced8	235044617	validated
41caa6d2-6953-4c6f-ac09-b72e07410bc4	TCGA-FY-A3YR-01A-01-TSA.8A3295EF-C6C3-4879-A88F-DB3E3C1A9817.svs	d6c0fb686ec090449119f13d4480ac72	199825335	validated
be35a155-0417-4643-9ac3-ad148aa47afa	TCGA-ET-A2N1-01A-01-TSA.CB6AD7FF-39FC-408D-9633-AB0C5D9F532D.svs	a9762d2567610313331fc7219e4e6063	173395731	validated
be740ce9-3491-478c-8c94-2e5d9c1a9bb4	TCGA-BJ-A28W-11A-01-TSA.33d8f121-99bd-4c71-90b3-33ec8ac5db8e.svs	221c42de63d841895c5c784df5a9c3c2	62874223	validated
43cc53a0-8fe3-4708-98ed-29cdc93aa5c9	TCGA-FY-A3R9-01A-01-TS1.B7EF89AD-D27E-4E3A-A9E5-3D9D0BE93386.svs	0ee12b6e1de3597701b80be081b42733	274142411	validated
